0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:10:07 +0700] "GET /Project_3_trungvqfx14135/home HTTP/1.1" 200 15601
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:10:14 +0700] "GET /Project_3_trungvqfx14135/detail?pid=1 HTTP/1.1" 200 9610
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:10:28 +0700] "GET /Project_3_trungvqfx14135/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:10:28 +0700] "GET /Project_3_trungvqfx14135/home HTTP/1.1" 200 15505
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:10:29 +0700] "GET /Project_3_trungvqfx14135/Login.jsp HTTP/1.1" 200 4396
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:10:50 +0700] "POST /Project_3_trungvqfx14135/signup HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:10:50 +0700] "GET /Project_3_trungvqfx14135/home HTTP/1.1" 200 15505
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:14:51 +0700] "GET /Project_3_trungvqfx14135/ HTTP/1.1" 200 5985
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:14:52 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:14:54 +0700] "GET /Project_3_trungvqfx14135/home HTTP/1.1" 200 15505
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:15:15 +0700] "GET /Project_3_trungvqfx14135/ HTTP/1.1" 200 5985
0:0:0:0:0:0:0:1 - - [13/Jul/2022:19:15:15 +0700] "GET /favicon.ico HTTP/1.1" 404 684
